id|zero|one|two|three|four|five|six|seven
hiRepLoCont|2,4|1,3|2|1|2|1,3|2,4|1,5
loRepHiCont|2,4|3,5|4|5|4|3,5|2,4|1,5
hiRepLoContBegMissing|4|1,3|2|1|2|1,3|2,4|1,5
hiRepLoContBegEndMissing|4|1,3|2|1|2|1,3|2,4|5
hiRepLoContEndMissing|2,4|1,3|2|1|2|1,3|2,4|5
loRepHiContBegMissing|2|3,5|4|5|4|3,5|2,4|1,5
loRepHiContEndMissing|2,4|3,5|4|5|4|3,5|2,4|1
loRepHiContBegEndMissing|2|3,5|4|5|4|3,5|2,4|1
repVsPitchHiLo|1|3|1|3|1|3|1,4|3
repVsPitchHiLo2|1|3|1|3|1|3|1,5|3
repVsPitchLoHi|5|3|5|3|5|3|2,5|3
repVsPitchLoHi2|5|3|5|3|5|3|1,5|3
alternateVsMountain1|2,4|1,3|2|1|2|1,3|2,4|1,5
alternateVsMountain2|2,5|3|2,5|3|2,5|3|2,5|3
pitchProximity1|2,5|3|2,5|3|2,5|3|2,5|3
pitchProximity2|2,5|4|2,5|4|2,5|4|2,5|4
goodContinuation1|5|4|3|2,4|1,5|2,4|3|4
goodContinuation2|1|2|3|2,4|1,5|2,4|3|2
pitchProx1|1|5|1|2|1|5|1|2
pitchProx2|1|5|1|3|1|5|1|3
pitchProx3|1|5|1|4|1|5|1|4
pitchProx4|5|1|5|2|5|1|5|2
pitchProx5|5|1|5|3|5|1|5|3
pitchProx6|5|1|5|4|5|1|5|4
AlternateVsMountain3|4|3|2|1|2|1,3|2,4|1,5
AlternateVsMountain4|2|1|2|1|2|1,3|2,4|1,5
competition1|0|2|0|2|0|2|0,4|2
competition2|4|2|4|2|4|2|0,4|2
continuousBass1|5|1|5|3|5|1|5|0
continuousBass2|5|1|5|3|5|1|x|0
commonFate1|0,3,5|x|1,4|x|0,3,5|x|1,4|x
commonFate2|1,3,5|x|0,4|x|1,3,5|x|0,4|x
priority1|1,4|x|1,5|x|1,4|x|1,5|x
priority2|1,4|x|0,4|x|1,4|x|0,4|x
priority3|1,4|x|0,5|x|1,4|x|0,3|x
priority4|1,4|x|0,5|x|1,4|x|2,5|x
salience1|5|1|5|0|4|1|4|0
salience2|5|1|4|1|5|0|4|0
